Age,Time_of_day,residential,employment,school,retail
Youngster (age = 5 - 22),Early Morning (0000-0700),0.99,0,0,0.01
Youngster (age = 5 - 22),Morning (0700-1200),0.025,0,0.95,0.025
Youngster (age = 5 - 22),Afternoon (1200-1700),0.4,0,0.4,0.2
Youngster (age = 5 - 22),Evening (1700-2000),0.2,0,0,0.8
Youngster (age = 5 - 22),Night (2000-2359),0.8,0,0,0.2
Bachelor (age = 22 - 30),Early Morning (0000-0700),0.9,0,0,0.1
Bachelor (age = 22 - 30),Morning (0700-1200),0.05,0.9,0,0.05
Bachelor (age = 22 - 30),Afternoon (1200-1700),0.01,0.9,0,0.09
Bachelor (age = 22 - 30),Evening (1700-2000),0.5,0,0,0.5
Bachelor (age = 22 - 30),Night (2000-2359),0.7,0,0,0.3
Family-man (age = 30 - 60),Early Morning (0000-0700),0.99,0,0,0.01
Family-man (age = 30 - 60),Morning (0700-1200),0.05,0.7,0.2,0.05
Family-man (age = 30 - 60),Afternoon (1200-1700),0.01,0.7,0.2,0.09
Family-man (age = 30 - 60),Evening (1700-2000),0.5,0.2,0,0.3
Family-man (age = 30 - 60),Night (2000-2359),0.9,0,0,0.1
Old (age > 60),Early Morning (0000-0700),1,0,0,0
Old (age > 60),Morning (0700-1200),0.7,0,0,0.3
Old (age > 60),Afternoon (1200-1700),0.9,0,0,0.1
Old (age > 60),Evening (1700-2000),0.99,0,0,0.01
Old (age > 60),Night (2000-2359),1,0,0,0